Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
KR,KROGER CO,Consumer Staples,2021-03-30,OHIO,https://www.sec.gov/Archives/edgar/data/56873/000155837021003706/kr-20210130x10k.htm
AVB,AVALONBAY COMMUNITIES INC,Large cap,2022-02-25,MARYLAND,https://www.sec.gov/Archives/edgar/data/915912/000091591222000005/avb-20211231.htm
FITB,FIFTH THIRD BANCORP,Financials,2022-02-25,OHIO,https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000003552722000119/fitb-20211231.htm
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,Utilities,2022-02-24,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/81033/000162828022003860/pseg-20211231.htm
PCAR,PACCAR INC,Industrials,2022-02-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/75362/000156459022006237/pcar-10k_20211231.htm
SBAC,SBA COMMUNICATIONS CORP,Real Estate,2022-03-01,FLORIDA,https://www.sec.gov/ix?doc=/Archives/edgar/data/1034054/000103405422000002/sbac-20211231x10k.htm
ROST,"ROSS STORES, INC.",Consumer Discretionary,2021-03-29,DELAWARE,https://www.sec.gov/Archives/edgar/data/745732/000074573221000017/rost-20210130.htm
OTIS,Otis Worldwide Corp,Industrials,2022-02-04,DELAWARE,https://www.sec.gov/Archives/edgar/data/1781335/000178133522000007/otis-20211231.htm
MTD,METTLER TOLEDO INTERNATIONAL INC/,Health Care,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/1037646/000103764622000008/mtd-20211231.htm
TROW,PRICE T ROWE GROUP INC,Financials,2022-02-24,MARYLAND,https://www.sec.gov/Archives/edgar/data/1113169/000111316922000005/trow-20211231.htm
EQR,EQUITY RESIDENTIAL,Real Estate,2022-02-17,MARYLAND,https://www.sec.gov/Archives/edgar/data/906107/000156459022005566/eqr-10k_20211231.htm
AJG,Arthur J. Gallagher & Co.,Financials,2022-02-18,ILLINOIS,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/ajg-10k_20211231.htm
MTCH,"Match Group, Inc.",Communication Services,2022-02-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/891103/000089110322000020/mtch-20211231.htm
EXPE,"Expedia Group, Inc.",Consumer Discretionary,2022-02-10,DELAWARE,https://www.sec.gov/Archives/edgar/data/1324424/000132442422000009/expe-20211231.htm
CMI,CUMMINS INC,Industrials,2022-02-08,INDIANA,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/cmi-20211231.htm
ROK,"ROCKWELL AUTOMATION, INC",Industrials,2021-11-09,DELAWARE,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/rok-20210930.htm
BIIB,BIOGEN INC.,Health Care,2022-02-03,DELAWARE,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/biib-20211231.htm
VRSK,"Verisk Analytics, Inc.",Industrials,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/1442145/000143774922004083/vrsk20211231_10k.htm
DLTR,"DOLLAR TREE, INC.",Consumer Discretionary,2022-03-15,VIRGINIA,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/dltr-20220129.htm
BKR,Baker Hughes Co,Energy,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/bkr-20211231.htm
KEYS,"Keysight Technologies, Inc.",Information Technology,2021-12-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/1601046/000160104621000197/keys-20211031.htm
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Large cap,2022-01-31,MARYLAND,https://www.sec.gov/Archives/edgar/data/1035443/000103544322000040/are-20211231.htm
ABC,AMERISOURCEBERGEN CORP,Health Care,2021-11-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/1140859/000114085921000058/abc-20210930.htm
AME,AMETEK INC/,Industrials,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/1037868/000103786822000009/ame-20211231.htm
HAL,HALLIBURTON CO,Energy,2022-02-04,DELAWARE,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/hal-20211231.htm
CPRT,COPART INC,Industrials,2021-09-27,DELAWARE,https://www.sec.gov/Archives/edgar/data/900075/000090007521000022/cprt-20210731.htm
FAST,FASTENAL CO,Industrials,2022-02-10,MINNESOTA,https://www.sec.gov/Archives/edgar/data/815556/000081555622000011/fast-20211231.htm
WY,WEYERHAEUSER CO,Real Estate,2022-02-18,WASHINGTON,https://www.sec.gov/Archives/edgar/data/106535/000156459022005707/wy-10k_20211231.htm
DHI,HORTON D R INC /DE/,Consumer Discretionary,2021-11-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/882184/000088218421000190/dhi-20210930.htm
BLL,BALL Corp,Materials,2022-02-16,INDIANA,https://www.sec.gov/Archives/edgar/data/9389/000155837022001251/bll-20211231x10k.htm
HES,HESS CORP,Energy,2022-03-01,DELAWARE,https://www.sec.gov/ix?doc=/Archives/edgar/data/4447/000162828022004524/hes-20211231.htm
ED,CONSOLIDATED EDISON INC,Utilities,2022-02-17,NEW YORK,https://www.sec.gov/Archives/edgar/data/23632/000104786222000039/ed-20211231.htm
NDAQ,"NASDAQ, INC.",Financials,2022-02-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/1120193/000112019322000007/ndaq-20211231.htm
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,2022-02-22,PENNSYLVANIA,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/wst-20211231.htm
TWTR,"TWITTER, INC.",Communication Services,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/1418091/000141809122000029/twtr-20211231.htm
ES,EVERSOURCE ENERGY,Utilities,2022-02-16,MASSACHUSETTS,https://www.sec.gov/Archives/edgar/data/13372/000007274122000015/es-20211231.htm
WEC,"WEC ENERGY GROUP, INC.",Utilities,2022-02-24,WISCONSIN,https://www.sec.gov/Archives/edgar/data/783325/000010781522000116/wec-20211231.htm
OKE,ONEOK INC /NEW/,Energy,2022-03-01,OKLAHOMA,https://www.sec.gov/ix?doc=/Archives/edgar/data/1039684/000103968422000015/oke-20211231.htm
WTW,WILLIS TOWERS WATSON PLC,Financials,2022-02-24,IRELAND,https://www.sec.gov/Archives/edgar/data/1140536/000095017022001932/wtw-20211231.htm
DAL,"DELTA AIR LINES, INC.",Industrials,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/dal-20211231.htm
LUV,SOUTHWEST AIRLINES CO,Industrials,2022-02-04,TEXAS,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/luv-20211231.htm
O,REALTY INCOME CORP,Real Estate,2022-02-23,MARYLAND,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/o-20211231.htm
ANSS,ANSYS INC,Information Technology,2022-02-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/1013462/000101346222000005/anss-20211231.htm
AWK,"American Water Works Company, Inc.",Utilities,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/1410636/000141063622000048/awk-20211231.htm
CERN,CERNER Corp,Health Care,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/804753/000080475322000009/cern-20211231.htm
SWK,"STANLEY BLACK & DECKER, INC.",Industrials,2022-02-22,CONNECTICUT,https://www.sec.gov/Archives/edgar/data/93556/000009355622000015/swk-20220101.htm
LEN,LENNAR CORP /NEW/,Consumer Discretionary,2022-01-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/920760/000162828022001450/len-20211130.htm
LYV,"Live Nation Entertainment, Inc.",Communication Services,2022-02-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/1335258/000133525822000019/lyv-20211231.htm
MKC,MCCORMICK & CO INC,Consumer Staples,2022-01-27,MARYLAND,https://www.sec.gov/Archives/edgar/data/63754/000006375422000005/mkc-20211130.htm
EFX,EQUIFAX INC,Industrials,2022-02-24,GEORGIA,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/efx-20211231.htm
